10.114,0.37836,0.85
10.133,0.4932,0.7
10.163,0.47697,0.8
10.461,0.41531,0.9
10.486,0.53925,0.75
10.53,0.5529,0.925
10.568,0.55224,0.75
10.752,0.51513,0.8
10.757,0.57218,0.875
10.883,0.64697,1
10.921,0.42676,0.375
10.932,0.53139,0.475
11.025,0.52843,0.675
11.124,0.62695,0.85
11.154,0.44185,0.925
11.244,0.63112,0.45
11.277,0.56651,0.85
11.406,0.54724,1
11.532,0.67655,0.85
11.691,0.63058,0.825
11.699,0.49756,0.825
11.71,0.4176,0.35
11.745,0.37454,0.775
11.97,0.60516,0.9
12.12,0.51182,0.875
12.162,0.53296,0.925
12.225,0.64514,0.95
12.23,0.5755,0.875
12.268,0.56707,0.975
12.35,0.59413,0.5
12.411,0.66629,0.575
12.465,0.57094,0.95
12.471,0.60356,1
12.509,0.63116,0.725
12.654,0.6151,0.8
12.709,0.44909,0.8
12.876,0.6173,0.95
12.914,0.52756,0.9
13.046,0.60805,0.7
13.046,0.65002,0.65
13.112,0.61499,0.95
13.142,0.50011,0.975
13.437,0.60409,0.8
13.533,0.66473,0.775
13.648,0.50744,0.825
13.681,0.4804,0.825
13.812,0.58722,0.925
13.84,0.66422,0.85
13.854,0.36864,0.55
13.87,0.57896,0.95
13.936,0.55708,0.975
13.969,0.63848,0.7
14.149,0.63624,0.95
14.22,0.62407,1
14.242,0.57106,0.825
14.574,0.59831,0.85
14.631,0.48281,0.95
14.738,0.62709,0.75
14.768,0.6097,0.975
14.823,0.64707,0.775
14.85,0.61384,0.8
14.853,0.64863,0.975
14.888,0.62561,0.9
14.99,0.56767,0.875
15.039,0.58366,0.875
15.069,0.64692,0.95
15.151,0.55801,1
15.302,0.56563,0.925
15.411,0.58709,0.95
15.556,0.5931,1
15.595,0.57786,0.95
15.603,0.68619,0.875
15.65,0.58667,0.975
15.691,0.60096,0.725
15.775,0.54797,0.75
15.882,0.57114,0.6
15.91,0.48922,0.95
15.923,0.54811,0.7
15.973,0.56553,0.925
16.052,0.6159,1
16.162,0.63869,0.925
16.214,0.58625,0.95
16.285,0.54488,0.95
16.29,0.6348,0.875
16.745,0.6098,0.95
16.764,0.59763,0.975
17.01,0.60563,0.95
17.125,0.58446,0.95
17.155,0.57541,0.775
17.229,0.54494,0.975
17.44,0.62331,0.875
17.454,0.57311,0.65
17.462,0.482,0.875
17.492,0.60779,0.825
17.84,0.59728,0.725
17.864,0.62415,0.95
17.905,0.59489,0.925
17.96,0.63513,0.925
18.114,0.61872,0.8
18.141,0.63419,0.95
18.171,0.52731,0.9
18.314,0.57867,0.7
18.333,0.55,0.925
18.39,0.62669,0.95
18.428,0.55804,0.975
18.489,0.43072,0.95
18.522,0.55962,0.875
18.544,0.55802,0.775
18.565,0.57219,0.975
18.604,0.63832,0.925
18.653,0.65684,0.8
18.721,0.5736,0.95
18.724,0.64721,0.625
18.743,0.57004,0.8
18.795,0.6284,0.925
18.809,0.59737,0.95
18.853,0.50043,1
18.856,0.60163,0.8
18.858,0.59375,0.8
18.864,0.45717,0.975
18.883,0.59512,0.975
18.897,0.52542,0.975
18.899,0.5588,0.95
18.902,0.59757,0.925
18.927,0.57153,0.975
18.96,0.63976,0.975
19.212,0.60597,0.875
19.22,0.65633,0.95
19.655,0.64037,0.9
20.32,0.68356,1
20.386,0.61959,0.95
20.452,0.61758,0.93
20.616,0.6302,0.95
20.646,0.6228,0.5
20.668,0.65926,0.875
20.701,0.57341,0.95
20.753,0.58775,0.875
20.906,0.63406,0.75
21.079,0.57473,0.9
21.404,0.56426,0.975
21.448,0.62105,0.95
21.481,0.51906,0.975
21.517,0.63789,0.85
21.607,0.64181,0.925
21.676,0.56607,0.975
21.703,0.61396,0.775
21.736,0.65043,0.9
21.84,0.62199,0.8
21.908,0.5268,1
21.958,0.57439,1
22.037,0.62706,1
22.067,0.65325,0.95
22.086,0.58858,0.7
22.149,0.6368,0.95
22.177,0.55388,0.975
22.204,0.65608,0.875
22.374,0.53567,0.9
22.398,0.49676,0.975
22.437,0.58353,0.825
22.519,0.60456,0.975
22.606,0.62893,0.975
22.68,0.62054,0.95
22.765,0.48123,0.975
23.157,0.59323,0.95
23.255,0.64185,0.95
23.337,0.63114,0.975
23.485,0.61394,0.825
23.619,0.67748,0.875
23.712,0.56958,0.975
23.8,0.65887,0.975
24.033,0.54766,1
24.285,0.5906,0.95
24.326,0.62416,0.95
24.928,0.62808,0.75
25.018,0.59584,1
25.035,0.63801,0.95
25.125,0.59976,0.975
25.128,0.65039,1
25.174,0.47354,0.975
25.437,0.62857,0.975
25.717,0.59529,1
25.719,0.617,0.975
25.728,0.57829,0.925
