age,pc,acc,rt,age.cen,pc.cen
18.856,0.60163,0.8,355.84,1.5461,0.018874
18.858,0.59375,0.8,385.53,1.5488,0.010996
18.864,0.45717,0.975,383.33,1.5543,-0.12558
18.883,0.59512,0.975,304.44,1.5735,0.01237
18.897,0.52542,0.975,347.44,1.5871,-0.057329
18.899,0.5588,0.95,341.74,1.5899,-0.023947
18.902,0.59757,0.925,346.49,1.5926,0.014817
18.927,0.57153,0.975,340.87,1.6173,-0.011222
18.96,0.63976,0.975,380.36,1.6501,0.057006
19.212,0.60597,0.875,384.34,1.902,0.023222
19.22,0.65633,0.95,307.55,1.9102,0.073578
19.655,0.64037,0.9,386.06,2.3455,0.057623
20.32,0.68356,1,467.4,3.0108,0.10081
20.386,0.61959,0.95,342.79,3.0765,0.036837
20.452,0.61758,0.93,351.98,3.1422,0.034833
20.616,0.6302,0.95,355.55,3.3065,0.047452
20.646,0.6228,0.5,403.05,3.3366,0.040043
20.668,0.65926,0.875,378.26,3.3585,0.076505
20.701,0.57341,0.95,337.34,3.3914,-0.0093379
20.753,0.58775,0.875,377.8,3.4434,0.0049934
20.906,0.63406,0.75,340.53,3.5967,0.051312
21.079,0.57473,0.9,336.42,3.7692,-0.0080213
21.404,0.56426,0.975,343.31,4.095,-0.018493
21.448,0.62105,0.95,393.89,4.1388,0.038302
21.481,0.51906,0.975,365.08,4.1717,-0.063688
21.517,0.63789,0.85,410.76,4.2073,0.055137
21.607,0.64181,0.925,361.81,4.2976,0.059061
21.676,0.56607,0.975,444.56,4.3661,-0.016685
21.703,0.61396,0.775,398.52,4.3934,0.031205
21.736,0.65043,0.9,419.53,4.4263,0.067683
21.84,0.62199,0.8,360.06,4.5303,0.039236
21.908,0.5268,1,346.88,4.5988,-0.055948
21.958,0.57439,1,397.75,4.6481,-0.0083592
22.037,0.62706,1,323.55,4.7275,0.044303
22.067,0.65325,0.95,383.55,4.7576,0.0705
22.086,0.58858,0.7,342.64,4.7767,0.0058246
22.149,0.6368,0.95,404.66,4.8397,0.05405
22.177,0.55388,0.975,411.08,4.8671,-0.028872
22.204,0.65608,0.875,433.57,4.8945,0.073324
22.374,0.53567,0.9,338.17,5.0642,-0.047084
22.398,0.49676,0.975,389.05,5.0889,-0.085996
22.437,0.58353,0.825,354.94,5.1272,0.00077457
22.519,0.60456,0.975,403.69,5.2093,0.021805
22.606,0.62893,0.975,359.79,5.2969,0.046177
22.68,0.62054,0.95,326.55,5.3709,0.037787
22.765,0.48123,0.975,375.72,5.4557,-0.10152
23.157,0.59323,0.95,353.61,5.8472,0.010483
23.255,0.64185,0.95,336.71,5.9458,0.059101
23.337,0.63114,0.975,370.36,6.0279,0.048391
23.485,0.61394,0.825,382.21,6.1758,0.031189
23.619,0.67748,0.875,390.34,6.3099,0.09473
23.712,0.56958,0.975,338.46,6.403,-0.013173
23.8,0.65887,0.975,373.9,6.4906,0.076122
24.033,0.54766,1,368.23,6.7234,-0.035087
24.285,0.5906,0.95,400,6.9752,0.0078446
24.326,0.62416,0.95,354.97,7.0163,0.041406
24.928,0.62808,0.75,380.2,7.6186,0.045329
25.018,0.59584,1,326.9,7.709,0.013087
25.035,0.63801,0.95,350.37,7.7254,0.055258
25.125,0.59976,0.975,324.49,7.8158,0.017005
25.128,0.65039,1,388.88,7.8185,0.067635
25.174,0.47354,0.975,335.28,7.865,-0.10921
25.437,0.62857,0.975,342.79,8.1279,0.045821
25.717,0.59529,1,319.62,8.4071,0.012536
25.719,0.617,0.975,357.82,8.4099,0.034246
25.728,0.57829,0.925,412.62,8.4181,-0.0044627
